"TaxaID","genome_composition","serotype","genotype"
2065051,"II: ssDNA(-)","",""
2065052,"II: ssDNA(-)","",""
2065053,"II: ssDNA(-)","",""
2065054,"II: ssDNA(-)","",""
2065055,"II: ssDNA(-)","",""
2065056,"II: ssDNA(-)","",""
687380,"II: ssDNA(-)","",""
2065044,"II: ssDNA(-)","",""
2065045,"II: ssDNA(-)","",""
2065046,"II: ssDNA(-)","",""
2065047,"II: ssDNA(-)","",""
2065048,"II: ssDNA(-)","",""
2065049,"II: ssDNA(-)","",""
2065050,"II: ssDNA(-)","",""
12618,"II: ssDNA(-)","",""
1670973,"II: ssDNA(-)","",""
1002273,"II: ssDNA(-)","",""
988776,"II: ssDNA(-)","",""
1548711,"II: ssDNA(-)","",""
1163715,"II: ssDNA(-)","",""
1415628,"II: ssDNA(-)","",""
1214955,"II: ssDNA(-)","",""
1415627,"II: ssDNA(-)","",""
2249930,"II: ssDNA(-)","",""
687386,"II: ssDNA(-)","",""
687387,"ssDNA(-)","",""
742012,"II: ssDNA(-)","",""
1968861,"II: ssDNA(-)","",""
1239832,"II: ssDNA(-)","",""
1427157,"II: ssDNA(-)","",""
1427156,"II: ssDNA(-)","",""
1566012,"II: ssDNA(-)","",""
1566009,"II: ssDNA(-)","",""
2012676,"II: ssDNA(-)","",""
2012677,"II: ssDNA(-)","",""
1673633,"II: ssDNA(-)","",""
1743411,"II: ssDNA(-)","",""
1514664,"II: ssDNA(-)","",""
1218490,"II: ssDNA(-)","",""
687385,"II: ssDNA(-)","",""
1128423,"II: ssDNA(-)","",""
2012640,"II: ssDNA(-)","",""
1034792,"II: ssDNA(-)","",""
2054610,"II: ssDNA(-)","",""
2054614,"II: ssDNA(-)","",""
1543419,"II: ssDNA(-)","",""
687383,"II: ssDNA(-)","",""
2016460,"II: ssDNA(-)","",""
943084,"II: ssDNA(-)","",""
1034790,"II: ssDNA(-)","",""
1034791,"II: ssDNA(-)","",""
1034793,"II: ssDNA(-)","",""
1514665,"II: ssDNA(-)","",""
2054611,"II: ssDNA(-)","",""
2054613,"II: ssDNA(-)","",""
991022,"II: ssDNA(-)","",""
289366,"II: ssDNA(-)","",""
289367,"II: ssDNA(-)","",""
68887,"II: ssDNA(-)","",""
444002,"II: ssDNA(-)","",""
444003,"II: ssDNA(-)","",""
443975,"II: ssDNA(-)","",""
444029,"II: ssDNA(-)","",""
444030,"II: ssDNA(-)","",""
444032,"II: ssDNA(-)","",""
444033,"II: ssDNA(-)","",""
444031,"II: ssDNA(-)","",""
12896,"IV/V: ssRNA","",""
219174,"IV/V: ssRNA","",""
1737346,"IV/V: ssRNA","",""
68402,"IV/V: ssRNA","",""
12894,"IV/V: ssRNA","",""
315953,"I: dsDNA","",""
1797140,"I: dsDNA","",""
1351702,"I: dsDNA","",""
1580591,"I: dsDNA","",""
1732177,"I: dsDNA","",""
1732178,"I: dsDNA","",""
285013,"I: dsDNA","",""
1123964,"I: dsDNA","",""
700542,"I: dsDNA","",""
650121,"I: dsDNA","",""
85655,"I: dsDNA","",""
389214,"I: dsDNA","",""
1987509,"I: dsDNA","",""
150286,"I: dsDNA","",""
317858,"I: dsDNA","",""
317878,"I: dsDNA","",""
180230,"I: dsDNA","",""
10401,"I: dsDNA","",""
508441,"I: dsDNA","",""
10386,"I: dsDNA","",""
50294,"I: dsDNA","",""
104388,"I: dsDNA","",""
93386,"I: dsDNA","",""
1510155,"I: dsDNA","",""
10390,"I: dsDNA","",""
1123959,"I: dsDNA","",""
35250,"I: dsDNA","",""
36353,"I: dsDNA","Marek's disease virus serotype 2 MDV2",""
37108,"I: dsDNA","",""
2560777,"I: dsDNA","",""
2560801,"I: dsDNA","",""
35243,"I: dsDNA","",""
10317,"I: dsDNA","",""
10298,"I: dsDNA","",""
10310,"I: dsDNA","",""
481315,"I: dsDNA","",""
10325,"I: dsDNA","",""
137443,"I: dsDNA","",""
332937,"I: dsDNA","",""
340907,"I: dsDNA","",""
1343901,"I: dsDNA","",""
10353,"I: dsDNA","",""
79889,"I: dsDNA","",""
1548190,"I: dsDNA","",""
31519,"I: dsDNA","",""
1548191,"I: dsDNA","",""
1548192,"I: dsDNA","",""
35244,"I: dsDNA","",""
202910,"I: dsDNA","",""
170325,"I: dsDNA","",""
35246,"I: dsDNA","",""
2115790,"I: dsDNA","",""
10326,"I: dsDNA","",""
80341,"I: dsDNA","",""
10331,"I: dsDNA","",""
39637,"I: dsDNA","",""
55744,"I: dsDNA","",""
10334,"I: dsDNA","",""
10335,"I: dsDNA","",""
10338,"I: dsDNA","",""
1434720,"I: dsDNA","",""
10345,"I: dsDNA","",""
50290,"I: dsDNA","",""
1125844,"I: dsDNA","",""
50292,"I: dsDNA","",""
1667587,"I: dsDNA","",""
10359,"I: dsDNA","",""
47929,"I: dsDNA","",""
944969,"I: dsDNA","",""
188763,"I: dsDNA","",""
153301,"I: dsDNA","",""
1535247,"I: dsDNA","",""
1919083,"I: dsDNA","",""
10366,"I: dsDNA","",""
69156,"I: dsDNA","",""
524649,"I: dsDNA","",""
524650,"I: dsDNA","",""
524651,"I: dsDNA","",""
79700,"I: dsDNA","",""
1261657,"I: dsDNA","",""
1640278,"I: dsDNA","",""
146015,"I: dsDNA","",""
759753,"I: dsDNA","",""
548914,"I: dsDNA","",""
768738,"I: dsDNA","",""
33706,"I: dsDNA","",""
1415526,"I: dsDNA","",""
10397,"I: dsDNA","",""
32603,"I: dsDNA","",""
32604,"I: dsDNA","",""
10372,"I: dsDNA","",""
1846169,"I: dsDNA","",""
1608255,"I: dsDNA","",""
1940555,"I: dsDNA","",""
1195167,"I: dsDNA","",""
106331,"I: dsDNA","",""
10376,"I: dsDNA","",""
12509,"I: dsDNA","",""
1716044,"I: dsDNA","",""
45455,"I: dsDNA","",""
35252,"I: dsDNA","",""
138184,"I: dsDNA","",""
1504288,"I: dsDNA","",""
10398,"I: dsDNA","",""
2249313,"I: dsDNA","",""
2052651,"I: dsDNA","",""
12657,"I: dsDNA","",""
10371,"I: dsDNA","",""
1452540,"I: dsDNA","",""
1419109,"I: dsDNA","",""
85618,"I: dsDNA","",""
10385,"I: dsDNA","",""
1605972,"I: dsDNA","",""
37296,"I: dsDNA","",""
272551,"I: dsDNA","",""
123630,"I: dsDNA","",""
154334,"I: dsDNA","",""
83534,"I: dsDNA","",""
111469,"I: dsDNA","",""
33708,"I: dsDNA","",""
432370,"I: dsDNA","",""
10381,"I: dsDNA","",""
2022783,"I: dsDNA","",""
2035399,"I: dsDNA","",""
1780507,"I: dsDNA","",""
2054179,"I: dsDNA","",""
1241371,"I: dsDNA","",""
261939,"I: dsDNA","",""
741995,"I: dsDNA","",""
2282206,"II: ssDNA","",""
2059880,"I: dsDNA","",""
1296661,"I: dsDNA","",""
1296662,"I: dsDNA","",""
637730,"I: dsDNA","",""
2137745,"I: dsDNA","",""
2530042,"I: dsDNA","",""
2712940,"I: dsDNA","",""
1204528,"I: dsDNA","",""
1477406,"I: dsDNA","",""
2678590,"I: dsDNA","",""
2267403,"I: dsDNA","",""
1958914,"I: dsDNA","",""
2886902,"I: dsDNA","",""
454798,"I: dsDNA","",""
1204523,"I: dsDNA","",""
2070200,"I: dsDNA","",""
2053671,"I: dsDNA","",""
1868169,"I: dsDNA","",""
1868654,"I: dsDNA","",""
926589,"I: dsDNA","",""
2231347,"I: dsDNA","",""
2592196,"I: dsDNA","",""
1080800,"I: dsDNA","",""
1108865,"I: dsDNA","",""
1458849,"I: dsDNA","",""
1446492,"I: dsDNA","",""
2025818,"I: dsDNA","",""
2592220,"I: dsDNA","",""
1204530,"I: dsDNA","",""
1897742,"I: dsDNA","",""
2700089,"I: dsDNA","",""
2698907,"I: dsDNA","",""
2698910,"I: dsDNA","",""
2419752,"I: dsDNA","",""
2301648,"I: dsDNA","",""
1987993,"I: dsDNA","",""
2713273,"I: dsDNA","",""
2713274,"I: dsDNA","",""
2713278,"I: dsDNA","",""
2713281,"I: dsDNA","",""
2713292,"I: dsDNA","",""
2713301,"I: dsDNA","",""
1654891,"I: dsDNA","",""
2713304,"I: dsDNA","",""
1406794,"I: dsDNA","",""
1406795,"I: dsDNA","",""
2713306,"I: dsDNA","",""
2054274,"I: dsDNA","",""
2713310,"I: dsDNA","",""
2713314,"I: dsDNA","",""
2301647,"I: dsDNA","",""
2686437,"I: dsDNA","",""
2419930,"I: dsDNA","",""
1262513,"I: dsDNA","",""
1564096,"I: dsDNA","",""
2099338,"I: dsDNA","",""
2169687,"I: dsDNA","",""
1852640,"I: dsDNA","",""
2508194,"I: dsDNA","",""
2079262,"I: dsDNA","",""
2589660,"I: dsDNA","",""
2054272,"I: dsDNA","",""
2054273,"I: dsDNA","",""
2656521,"I: dsDNA","",""
1978922,"I: dsDNA","",""
2584487,"I: dsDNA","",""
1785960,"I: dsDNA","",""
1527770,"I: dsDNA","",""
1636182,"I: dsDNA","",""
2745673,"I: dsDNA","",""
2591411,"I: dsDNA","",""
1429768,"I: dsDNA","",""
1815986,"I: dsDNA","",""
2060127,"I: dsDNA","",""
1815987,"I: dsDNA","",""
1815988,"I: dsDNA","",""
1815989,"I: dsDNA","",""
1147149,"I: dsDNA","",""
1147156,"I: dsDNA","",""
2562461,"I: dsDNA","",""
322855,"I: dsDNA","",""
1439894,"I: dsDNA","",""
1147094,"I: dsDNA","",""
2283029,"I: dsDNA","",""
2201424,"I: dsDNA","",""
2869543,"dsDNA","",""
2869544,"dsDNA","",""
2869545,"dsDNA","",""
2869547,"dsDNA","",""
2869549,"dsDNA","",""
2869552,"dsDNA","",""
2869553,"dsDNA","",""
2869555,"dsDNA","",""
2869556,"dsDNA","",""
2869557,"dsDNA","",""
1772291,"I: dsDNA","",""
2015839,"I: dsDNA","",""
755164,"I: dsDNA","",""
1897533,"I: dsDNA","",""
1897531,"I: dsDNA","",""
2763102,"I: dsDNA","",""
2719593,"I: dsDNA","",""
2719594,"I: dsDNA","",""
2419946,"I: dsDNA","",""
2880537,"I: dsDNA","",""
1273743,"I: dsDNA","",""
2880540,"I: dsDNA","",""
2880541,"I: dsDNA","",""
2880542,"I: dsDNA","",""
2884419,"I: dsDNA","",""
2884421,"I: dsDNA","",""
2884426,"I: dsDNA","",""
2884430,"I: dsDNA","",""
2484217,"I: dsDNA","",""
2484218,"I: dsDNA","",""
2250335,"I: dsDNA","",""
2250336,"I: dsDNA","",""
2599857,"I: dsDNA","",""
2053653,"I: dsDNA","",""
2182350,"I: dsDNA","",""
2250319,"I: dsDNA","",""
2696356,"I: dsDNA","",""
2759389,"I: dsDNA","",""
2419971,"I: dsDNA","",""
1211278,"I: dsDNA","",""
10732,"I: dsDNA","",""
2108134,"I: dsDNA","",""
2599888,"I: dsDNA","",""
2530160,"I: dsDNA","",""
2041206,"I: dsDNA","",""
2725628,"I: dsDNA","",""
2301715,"I: dsDNA","",""
1239386,"I: dsDNA","",""
2053672,"I: dsDNA","",""
1673877,"I: dsDNA","",""
2740181,"I: dsDNA","",""
2740182,"I: dsDNA","",""
1913034,"I: dsDNA","",""
2601693,"I: dsDNA","",""
2767587,"I: dsDNA","",""
2590946,"I: dsDNA","",""
1204524,"I: dsDNA","",""
2301573,"I: dsDNA","",""
2510525,"I: dsDNA","",""
1690426,"I: dsDNA","",""
1690425,"I: dsDNA","",""
1690427,"I: dsDNA","",""
2182319,"I: dsDNA","",""
1690428,"I: dsDNA","",""
1674926,"I: dsDNA","",""
1674927,"I: dsDNA","",""
1327758,"I: dsDNA","",""
1873996,"I: dsDNA","",""
1873777,"I: dsDNA","",""
1327759,"I: dsDNA","",""
2801898,"I: dsDNA","",""
2593360,"I: dsDNA","",""
1327760,"I: dsDNA","",""
2041205,"I: dsDNA","",""
2041207,"I: dsDNA","",""
2059882,"I: dsDNA","",""
2041209,"I: dsDNA","",""
2767576,"I: dsDNA","",""
2767584,"I: dsDNA","",""
2767588,"I: dsDNA","",""
2201421,"I: dsDNA","",""
51369,"I: dsDNA","",""
1327981,"I: dsDNA","",""
1327970,"I: dsDNA","",""
2745692,"I: dsDNA","",""
1273738,"I: dsDNA","",""
1555202,"I: dsDNA","",""
2713276,"I: dsDNA","",""
1821548,"I: dsDNA","",""
1821562,"I: dsDNA","",""
2059881,"I: dsDNA","",""
1965467,"I: dsDNA","",""
1965472,"I: dsDNA","",""
1412875,"I: dsDNA","",""
1965482,"I: dsDNA","",""
2662295,"I: dsDNA","",""
1560313,"I: dsDNA","",""
881953,"I: dsDNA","",""
1137745,"I: dsDNA","",""
2500795,"I: dsDNA","",""
1920308,"I: dsDNA","",""
1920310,"I: dsDNA","",""
461711,"I: dsDNA","",""
2759719,"I: dsDNA","",""
1927013,"I: dsDNA","",""
2740801,"I: dsDNA","",""
2024261,"I: dsDNA","",""
2024262,"I: dsDNA","",""
2783867,"I: dsDNA","",""
2741072,"I: dsDNA","",""
616674,"I: dsDNA","",""
1481187,"I: dsDNA","",""
691318,"I: dsDNA","",""
1273713,"I: dsDNA","",""
1698439,"I: dsDNA","",""
1932886,"I: dsDNA","",""
1932885,"I: dsDNA","",""
2500826,"I: dsDNA","",""
1235824,"I: dsDNA","",""
2315468,"I: dsDNA","",""
2315601,"I: dsDNA","",""
2016049,"I: dsDNA","",""
2016050,"I: dsDNA","",""
2678937,"I: dsDNA","",""
2126803,"I: dsDNA","",""
1647373,"I: dsDNA","",""
1735582,"I: dsDNA","",""
2016052,"I: dsDNA","",""
2016053,"I: dsDNA","",""
1701807,"I: dsDNA","",""
1701808,"I: dsDNA","",""
2053604,"I: dsDNA","",""
2059857,"I: dsDNA","",""
1983525,"I: dsDNA","",""
1916127,"I: dsDNA","",""
1406779,"I: dsDNA","",""
1100790,"I: dsDNA","",""
1873949,"I: dsDNA","",""
1536597,"I: dsDNA","",""
2562235,"I: dsDNA","",""
445693,"I: dsDNA","",""
1151014,"I: dsDNA","",""
1434127,"I: dsDNA","",""
1932890,"I: dsDNA","",""
2022859,"I: dsDNA","",""
1965370,"I: dsDNA","",""
2059879,"I: dsDNA","",""
2163982,"I: dsDNA","",""
2163983,"I: dsDNA","",""
2163984,"I: dsDNA","",""
2163985,"I: dsDNA","",""
2048979,"I: dsDNA","",""
1777063,"I: dsDNA","",""
1873958,"I: dsDNA","",""
1685500,"I: dsDNA","",""
2153295,"I: dsDNA","",""
1983582,"I: dsDNA","",""
2489618,"I: dsDNA","",""
1873959,"I: dsDNA","",""
1211386,"I: dsDNA","",""
2320194,"I: dsDNA","",""
2489627,"I: dsDNA","",""
2489628,"I: dsDNA","",""
2320195,"I: dsDNA","",""
2320197,"I: dsDNA","",""
1654601,"I: dsDNA","",""
2489634,"I: dsDNA","",""
2489635,"I: dsDNA","",""
1698708,"I: dsDNA","",""
1220602,"I: dsDNA","",""
1220603,"I: dsDNA","",""
1220715,"I: dsDNA","",""
1220716,"I: dsDNA","",""
1881263,"I: dsDNA","",""
2047782,"I: dsDNA","",""
1141519,"I: dsDNA","",""
2928692,"I: dsDNA","",""
2741074,"I: dsDNA","",""
2741076,"I: dsDNA","",""
1498172,"I: dsDNA","",""
1932883,"I: dsDNA","",""
2041493,"I: dsDNA","",""
2070026,"I: dsDNA","",""
