"Species","Acronyms","Other.Acronyms","Other.Names"
"Human polyomavirus 2","HPyV-2","JCPyV","JC polyomavirus"
"Human polyomavirus 3","HPyV-3","KIPyV","KI polyomavirus"
"Human polyomavirus 4","HPyV-4","WUPyV","WU polyomavirus"
"Loxodonta africana polyomavirus 1","LafrPyV","AelPyV-1","African elephant polyomavirus 1"
"Macaca mulatta polyomavirus 1","MmulPyV","SV40","Simian virus 40"
"Mastomys natalensis polyomavirus 1","MnatPyV","MasPyV","Mastomys natalensis polyomavirus 1"
"Meles meles polyomavirus 1","MmelPyV-1",NA,NA
"Microtus arvalis polyomavirus 1","MarvPyV",NA,NA
"Miniopterus africanus polyomavirus 1","MafrPyV","MiniopterusPyV","Miniopterus polyomavirus"
"Mus musculus polyomavirus 2","MmusPyV-2","MPtV, KPyV","Murine pneumotropic virus, Kilham polyomavirus"
"Myodes glareolus polyomavirus 1","MglaPyV-1",NA,NA
"Myotis lucifugus polyomavirus 1","MlucPyV","MyoPyV","Myotis polyomavirus"
"Pan troglodytes polyomavirus 8","PtroPyV-8","PtrovPyV-8","Pan troglodytes verus polyomavirus 8"
"Papio cynocephalus polyomavirus 2","PcynPyV-2","YbPyV-2, BPyV-2","Yellow baboon polyomavirus 2, Baboon polyomavirus-2"
"Pteronotus davyi polyomavirus 1","PdavPyV-1","PteronotusPyV","Pteronotus polyomavirus"
"Pteronotus parnellii polyomavirus 1","PdavPyV","BatPyV-2b","Bat polyomavirus"
"Saimiri boliviensis polyomavirus 1","SbolPyV","SqPyV","Squirrel monkey polyomavirus"
"Saimiri sciureus polyomavirus 1","SsciPyV-1",NA,NA
"Zalophus californianus polyomavirus 1","ZcalPyV","SLPyV-1, CSLPyV-1","Sea lion polyomavirus 1, California sea lion polyomavirus 1"
"Human polyomavirus 6","HPyV-6",NA,NA
"Human polyomavirus 7","HPyV-7",NA,NA
"Human polyomavirus 10","HPyV-10","MWPyV, MWPyV, MXPyV","Malawi polyomavirus, MW polyomavirus, Mexico polyomavirus"
"Human polyomavirus 11","HPyV-11","StLPyV, StLPyV","Saint Louis polyomavirus, STL polyomavirus"
"Anser anser polyomavirus 1","AansPyV","GHPyV","Goose hemorrhagic polyomavirus"
"Aves polyomavirus 1","APyV-1","BFPyV, BFPyV, BFDV, APyV","Budgerigar fledgling disease polyomavirus, Budgerigar fledgling polyomavirus, Budgerigar fledgling disease virus, Avian polyomavirus"
"Corvus monedula polyomavirus 1","CmonPyV","CPyV","Crow polyomavirus"
