"Species","Acronyms","Other.Acronyms","Other.Names"
"Murine leukemia virus","MLV","AbMLV, AKRMLV, FrMLV, MoMLV","Abelson murine leukemia virus, AKR murine leukemia virus, Friend murine leukemia virus, Moloney murine leukemia virus"
"Porcine type-C oncovirus","PCOV",NA,NA
"Reticuloendotheliosis virus","REV",NA,NA
"Snyder-Theilen feline sarcoma virus","STFeSV",NA,NA
"Trager duck spleen necrosis virus","TDSNV",NA,NA
"Viper retrovirus","VRV",NA,NA
"Woolly monkey sarcoma virus","WMSV",NA,NA
"Bovine immunodeficiency virus","BIV",NA,NA
"Caprine arthritis encephalitis virus","CAEV",NA,NA
"Equine infectious anemia virus","EIAV",NA,NA
"Feline immunodeficiency virus","FIV",NA,NA
"Human immunodeficiency virus 1","HIV-1",NA,NA
"Human immunodeficiency virus 2","HIV-2",NA,NA
"Jembrana disease virus","JDV",NA,NA
"Puma lentivirus","PLV",NA,NA
"Simian immunodeficiency virus","SIV",NA,NA
"Visna-maedi virus","VISNA",NA,NA
"African green monkey simian foamy virus","SFVagm","SFV-3","Simian foamy virus-3"
"Bovine foamy virus","BoFV",NA,NA
"Equine foamy virus","EFV",NA,NA
"Feline foamy virus","FFV",NA,NA
"Macaque simian foamy virus","SFVmac","SFV-1","Simian foamy virus-1"
"Simian foamy virus","SFVcpz","SFV","Simian foamy virus"
"Arboretum almendravirus","ABTV","ABTV","Arboretum virus"
"Balsa almendravirus","BALV","BALV","Balsa virus"
"Coot Bay almendravirus","CBV","CBV","Coot Bay virus"
"Puerto Almendras almendravirus","PTAMV","PTAMV","Puerto Almendras virus"
"Rio Chico almendravirus","RCHV","RCHV","Rio Chico virus"
"Curionopolis curiovirus","CURV","CURV","Curionopolis virus"
"Iriri curiovirus","IRIRV","IRIRV","Iriri virus"
"Itacaiunas curiovirus","ITAV","ITAV","Itacaiunas virus"
"Rochambeau curiovirus","RBUV","RBUV","Rochambeau virus"
"Alfalfa dwarf cytorhabdovirus","ADV","ADV","Alfalfa dwarf virus"
"Barley yellow striate mosaic cytorhabdovirus","BYSMV","BYSMV","Barley yellow striate mosaic virus"
"Broccoli necrotic yellows cytorhabdovirus","BNYV","BNYV","Broccoli necrotic yellows cytorhabdovirus"
"Colocasia bobone disease-associated cytorhabdovirus","CBDaV","CBDaV","Colocasia bobone disease-associated virus"
"Festuca leaf streak cytorhabdovirus","FLSV","FLSV","Festuca leaf streak virus"
"Lettuce necrotic yellows cytorhabdovirus","LYNYV","LYNYV","Lettuce necrotic yellows virus"
"Lettuce yellow mottle cytorhabdovirus","LYMoV","LYMoV","Lettuce yellow mottle virus"
"Northern cereal mosaic cytorhabdovirus","NCMV","NCMV","Northern cereal mosaic virus"
"Sonchus cytorhabdovirus 1","SonV","SonV","Sonchus virus"
"Strawberry crinkle cytorhabdovirus","SCV","SCV","Strawberry crinkle virus"
"Wheat American striate mosaic cytorhabdovirus","WASMV","WASMV","Wheat American striate mosaic virus"
"Coffee ringspot dichorhavirus","CoRSV","CoRSV","Coffee ringspot virus"
"Orchid fleck dichorhavirus","OFV","OFV","Orchid fleck virus"
"Adelaide River ephemerovirus","AdRV","ARV","Adelaide river virus"
"Berrimah ephemerovirus","BRMV","BRMV","Berrimah virus"
"Bovine fever ephemerovirus","BEFV","BEFV","Bovine ephemeral fever virus"
"Kimberley ephemerovirus","KIMV","KIMV","Kimberley virus"
"Koolpinyah ephemerovirus","KOOLV","KOOLV","Koolpinyah virus"
"Kotonkan ephemerovirus","KOTV","KOTV","Kotonkan virus"
"Obodhiang ephemerovirus","OBOV","OBOV","Obodhiang virus"
"Yata ephemerovirus","YATV","YATV","Yata virus"
"Flanders hapavirus","FLAV","FLAV","Flanders virus"
"Gray Lodge hapavirus","GLOV","GLOV","Gray Lodge virus"
"Hart Park hapavirus","HPV","HPV","Hart Park virus"
"Joinjakaka hapavirus","JOIV","JOIV","Joinjakaka virus"
"Kamese hapavirus","KAMV","KAMV","Kamese virus"
"La Joya hapavirus","LJV","LJV","La Joya virus"
"Landjia hapavirus","LJAV","LJAV","Landjia virus"
"Manitoba hapavirus","MANV","MANV","Manitoba virus"
"Marco hapavirus","MCOV","MCOV","Marco virus"
"Mosqueiro hapavirus","MQOV","MQOV","Mosqueiro virus"
"Mossuril hapavirus","MOSV","MOSV","Mossuril virus"
"Ngaingan hapavirus","NGAV","NGAV","Ngaingan virus"
"Ord River hapavirus","ORV","ORV","Old River virus"
"Parry Creek hapavirus","PCV","PCV","Parry Creek virus"
"Wongabel hapavirus","WONV","WONV","Wongabel virus"
"Barur ledantevirus","BARV","BARV","Barur virus"
"Fikirini ledantevirus","FKRV","FKRV","Fikirini rhabdovirus"
"Fukuoka ledantevirus","FUKV","FUKV","Fukuoka virus"
"Kern Canyon ledantevirus","KCV","KCV","Kern Canyon virus"
"Keuraliba ledantevirus","KEUV","KEUV","Keuraliba virus"
"Kolente ledantevirus","KOLEV","KOLEV","Kolente virus"
"Kumasi ledantevirus","KRV","KRV","Kumasi rhabdovirus"
"Le Dantec ledantevirus","LDV","LDV","Le Dantec virus"
"Mount Elgon bat ledantevirus","MEBV","MEBV","Mount Elgon bat virus"
"Nishimuro ledantevirus","NISV","NISV","Nishimuro virus"
"Nkolbisson ledantevirus","NKOV","NKOV","Nkolbisson virus"
"Oita ledantevirus","OITAV","OITAV","Oita virus"
"Wuhan ledantevirus","WLFV-5","WLFV-5","Wuhan louse fly virus 5"
"Yongjia ledantevirus","YjTV-2","YjTV-2","Yongjia tick virus 2"
"Aravan lyssavirus","ARAV","ARAV","Aravan virus"
"Australian bat lyssavirus","ABLV",NA,NA
"Bokeloh bat lyssavirus","BBLV","BBLV","Bokeloh bat lyssavirus"
"Duvenhage lyssavirus","DUVV","DUVV","Duvenhague virus"
"European bat 1 lyssavirus","EBLV-1",NA,NA
"European bat 2 lyssavirus","EBLV-2",NA,NA
"Ikoma lyssavirus","IKOV",NA,NA
"Irkut lyssavirus","IRKV","IRKV","Irkut virus"
"Khujand lyssavirus","KHUV","KHUV","Khujand virus"
"Lagos bat lyssavirus","LBV","LBV","Lagos bat virus"
"Mokola lyssavirus","MOKV","MOKV","Mokola virus"
"Rabies lyssavirus","RABV","RABV","Rabies virus"
"Shimoni bat lyssavirus","SHIBV","SHIBV","Shimoni bat virus"
"West Caucasian bat lyssavirus","WCBV","WCBV",NA
"Hirame novirhabdovirus","HIRV","HIRV","Hirame rhabdovirus"
"Piscine novirhabdovirus","VHSV","-, VHSV","Oncorhynchus 2 novirhabdovirus, Viral hemorrhagic septicemia virus"
"Salmonid novirhabdovirus","IHNV","-, IHNV","Oncorhynchus 1 novirhabdovirus, Infectious hematopoietic necrosis virus"
"Snakehead novirhabdovirus","SHRV","SHRV","Snakehead rhabdovirus"
"Datura yellow vein nucleorhabdovirus","DYVV","DYVV","Datura yellow vein virus"
"Eggplant mottled dwarf nucleorhabdovirus","EMDV","EMDV","Eggplant mottled dwarf virus"
"Maize fine streak nucleorhabdovirus","MFSV","MFSV","Maize fine streak virus"
"Maize Iranian mosaic nucleorhabdovirus","MIMV","MIMV","Maize Iranian mosaic virus"
"Maize mosaic nucleorhabdovirus","MMV","MMV","Maize mosaic virus"
"Potato yellow dwarf nucleorhabdovirus","PYDV","PYDV","Potato yellow dwarf virus"
"Rice yellow stunt nucleorhabdovirus","RYSV","RYSV","Rice yellow stunt virus"
"Sonchus yellow net nucleorhabdovirus","SYNV","SYNV","Sonchus yellow net virus"
"Sowthistle yellow vein nucleorhabdovirus","SYVV","SYVV","Sowthistle yellow vein virus"
"Taro vein chlorosis nucleorhabdovirus","TaVCV","TaVCV","Taro vein chlorosis virus"
"Anguillid perhabdovirus","AnPV","EVEX, EVA","Eel virus european X, Eel virus American"
"Perch perhabdovirus","PRV",NA,NA
"Sea trout perhabdovirus","LTRV","LTRV","Lake trout rhabdovirus"
"Drosophila affinis sigmavirus","DAffSV",NA,NA
"Drosophila ananassae sigmavirus","DAnaSV",NA,NA
"Drosophila immigrans sigmavirus","DImmSV",NA,NA
"Drosophila melanogaster sigmavirus","DMelSV",NA,NA
"Drosophila obscura sigmavirus","DObsSV",NA,NA
"Drosophila tristis sigmavirus","DTriSV",NA,NA
"Muscina stabulans sigmavirus","MStaSV",NA,NA
"Carp sprivivirus","SVCV","SVCV","Spring viremia of carp virus"
"Pike fry sprivivirus","PFRV","PFRV, GrCGV, TenRV","Pike fry rhabdovirus, Grass carp virus, Tench rhabdovirus"
"Almpiwar sripuvirus","ALMV","ALMV","Almpiwar virus"
"Chaco sripuvirus","ChSV","CHOV","Chaco virus"
"Niakha sripuvirus","NIAV","NIAV","Niakha virus"
"Sena Madureira sripuvirus","SMV","SMV","Sena Madureira virus"
"Sripur sripuvirus","SRIV","SRIV","Sripur virus"
"Bas-Congo tibrovirus","BASV","BASV","Bas-Congo virus"
"Coastal Plains tibrovirus","CPV","CPV","Coastal Plains virus"
"Ekpoma 1 tibrovirus","EKV-1","EKV-1","Ekpoma virus 1"
"Ekpoma 2 tibrovirus","EKV-2","EKV-2","Ekpoma virus 2"
"Sweetwater Branch tibrovirus","SWBV","SWBV","Sweetwater Branch virus"
"Tibrogargan tibrovirus","TIBV","BAV, TIBV","Bivens Arm virus, Tibrogargan virus"
"Durham tupavirus","DURV","DURV","Durham virus"
"Klamath tupavirus","KLAV","KLAV","Klamath virus"
"Tupaia tupavirus","TUPV","TUPV","Tupaia virus"
"Moussa virus","MOUV",NA,NA
"Lettuce big-vein associated varicosavirus","LBVaV","LBVaV","Lettuce big vein-associated virus"
"Alagoas vesiculovirus","VSAV","VSAV","Vesicular stomatitis Alagoas virus, Vesicular stomatitis virus Brazil"
"American bat vesiculovirus","ABVV",NA,"American bat vesiculovirus"
"Carajas vesiculovirus","CJSV","CJSV","Carajas virus"
"Chandipura vesiculovirus","CHPV","CHPV","Chandipura virus"
"Cocal vesiculovirus","COCV","COCV","Cocal virus"
"aichi","VSIV","VSIV","Vesicular stomatitis Indiana virus"
"Isfahan vesiculovirus","ISFV","ISFV","Isfahan virus"
"Jurona vesiculovirus","JURV","JURV","Jurona virus"
"Malpais Spring vesiculovirus","MSPV","MSPV","Malpais Spring virus"
"Maraba vesiculovirus","MARAV","MARAV","Maraba vesiculovirus"
"Morreton vesiculovirus","MORV","MORV","Morreton virus"
"New Jersey vesiculovirus","VSNJV","VSNJV","Vesicular stomatitis New Jersey virus"
"Perinet vesiculovirus","PERV","PERV","Perinet virus"
"Piry vesiculovirus","PIRYV","PIRYV","Piry virus"
"Radi vesiculovirus","RADIV","RADIV","Radi virus"
"Yug Bogdanovac vesiculovirus","YBV","YBV","Yug Bogdanovac virus"
"Aura virus","AURAV",NA,NA
"Barmah Forest virus","BFV",NA,NA
"Bebaru virus","BEBV",NA,NA
"Cabassou virus","CBSV","CABV","Cabassou virus"
"Chikungunya virus","CHIKV",NA,NA
"Eastern equine encephalitis virus","EEEV",NA,NA
"Eilat virus","EILV",NA,NA
"Everglades virus","EVEV",NA,NA
"Fort Morgan virus","FMV",NA,"Buggy crest virus"
"Getah virus","GETV",NA,NA
"Highlands J virus","HJV",NA,NA
"Madariaga virus","MADV",NA,NA
"Mayaro virus","MAYV",NA,NA
"Middelburg virus","MIDV",NA,NA
"Mosso das Pedras virus","MDPV",NA,NA
"Mucambo virus","MUCV",NA,NA
"Ndumu virus","NDUV",NA,NA
"Onyong-nyong virus","ONNV",NA,NA
"Pixuna virus","PIXV",NA,NA
"Rio Negro virus","RNV",NA,NA
"Ross River virus","RRV",NA,"Sagiyama virus"
"Salmon pancreas disease virus","SPDV",NA,NA
"Semliki Forest virus","SFV",NA,NA
"Sindbis virus","SINV",NA,"Babanki virus, Kyzylagach virus, Ockelbo virus"
"Southern elephant seal virus","SESV",NA,NA
"Tonate virus","TONV",NA,NA
"Trocara virus","TROV",NA,NA
"Una virus","UNAV",NA,NA
"Venezuelan equine encephalitis virus","VEEV",NA,NA
"Western equine encephalitis virus","WEEV",NA,NA
"Whataroa virus","WHAV",NA,NA
"Rubella virus","RUBV",NA,NA
"Hepatitis delta virus","HDV",NA,NA
"Dobrovirus bufonis","CITV-1","CITV-1, tfHDV","Chusan Island toad virus 1, Toad HDV"
"Daazvirus cynopis","CFBNV-1","CFBNV-1, amHDV","Chinese fire belly newt virus 1"
"Dagazvirus schedorhinotermitis","RTV-1","RTV-1","rhinotermitid virus 1"
"Daletvirus boae","SwSCV-1","SwSCV-1, sHDV, SDeV","Swiss snake colony virus 1 , snake HDV, Snake Delta virus"
"Dalvirus anatis","DabDV-1","DabDV-1, avHDV, avDeV","dabbling duck virus 1, avian HDV, avian Delta virus"
"Deevirus actinopterygii","RFFV-1","RFFV-1, fHDV,","Daazvirus fish HDV"
"Thurisazvirus myis","TSRV-1","TSRV-1, rHDV, RDeV","Tome's spiny-rat virus-1, rodent HDV, Rodent Deltavirus"
