"Species","Taxon.History.URL.ICTV"
"Uliginvirus alpheus","ICTVonline=202108629"
"Uliginvirus nerthus","ICTVonline=202108627"
"Uliginvirus njord","ICTVonline=202108626"
"Uliginvirus uligo","ICTVonline=202108630"
"Kantovirus C171","ICTVonline=202108569"
"Kotilavirus PP16","ICTVonline=202108557"
"Kotilavirus PPWS1","ICTVonline=202108555"
"Kotilavirus PPWS2","ICTVonline=202108556"
"Phimunavirus CB5","ICTVonline=202106925"
"Phimunavirus Clickz","ICTVonline=202108561"
"Phimunavirus fM1","ICTVonline=202106924"
"Phimunavirus gaspode","ICTVonline=202108558"
"Phimunavirus khlen","ICTVonline=202108562"
"Phimunavirus koot","ICTVonline=202108563"
"Phimunavirus lelidair","ICTVonline=202108559"
"Phimunavirus nobby","ICTVonline=202108560"
"Phimunavirus peat1","ICTVonline=202106926"
"Phimunavirus phoria","ICTVonline=202108564"
"Phimunavirus PP90","ICTVonline=202106927"
"Phimunavirus zenivior","ICTVonline=202108565"
"Stompvirus BF2512","ICTVonline=202108567"
"Kirikabuvirus NV3","ICTVonline=202108534"
"Phikmvvirus 15pyo","ICTVonline=202108527"
"Phikmvvirus Ab05","ICTVonline=202108526"
"Phikmvvirus ABTNL","ICTVonline=202108522"
"Phikmvvirus DL62","ICTVonline=202108523"
"Phikmvvirus kF77","ICTVonline=202108519"
"Phikmvvirus LKD16","ICTVonline=202108515"
"Phikmvvirus LUZ19","ICTVonline=202108516"
"Phikmvvirus MPK6","ICTVonline=202108521"
"Phikmvvirus MPK7","ICTVonline=202108520"
"Phikmvvirus NFS","ICTVonline=202108524"
"Phikmvvirus PAXYB1","ICTVonline=202108525"
"Phikmvvirus phiKMV","ICTVonline=202100571"
"Phikmvvirus PT2","ICTVonline=202108518"
"Phikmvvirus PT5","ICTVonline=202108517"
"Phikmvvirus pv130113","ICTVonline=202108528"
"Phikmvvirus RLP","ICTVonline=202108529"
"Stubburvirus LKA1","ICTVonline=202100570"
"Tunggulviirus f2","ICTVonline=202108532"
"Aerosvirus AS7","ICTVonline=202108604"
"Aerosvirus av25AhydR2PP","ICTVonline=202108602"
"Aerosvirus ZPAH7","ICTVonline=202108603"
"Aghbyvirus ISAO8","ICTVonline=202108612"
"Ahphunavirus Ahp1","ICTVonline=202108597"
"Ahphunavirus CF7","ICTVonline=202108596"
"Cronosvirus DevCD23823","ICTVonline=202108606"
"Cronosvirus GAP227","ICTVonline=202108607"
"Panjvirus Spp16","ICTVonline=202108616"
"Pienvirus R801","ICTVonline=202108614"
"Pokrovskaiavirus fHeYen301","ICTVonline=202108599"
"Pokrovskaiavirus pv8018","ICTVonline=202108600"
"Wanjuvirus arno160","ICTVonline=202108609"
"Wanjuvirus PP2","ICTVonline=202108610"
"Acadevirus PM85","ICTVonline=202108579"
"Acadevirus PM93","ICTVonline=202108576"
"Acadevirus PM116","ICTVonline=202108578"
"Acadevirus Pm5460","ICTVonline=202108577"
"Axomammavirus PP1","ICTVonline=202108574"
"Eracentumvirus era103","ICTVonline=202100577"
"Eracentumvirus S2","ICTVonline=202108572"
"Tuodvirus phD2B","ICTVonline=202108581"
"Vectrevirus AAPEc6","ICTVonline=202108585"
"Vectrevirus ACGC91","ICTVonline=202108584"
"Vectrevirus bee","ICTVonline=202108586"
"Vectrevirus cee","ICTVonline=202108587"
"Vectrevirus CrRp3","ICTVonline=202108590"
"Vectrevirus K15","ICTVonline=202100579"
"Vectrevirus K1E","ICTVonline=202100580"
"Vectrevirus kay","ICTVonline=202108588"
"Vectrevirus LL11","ICTVonline=202108591"
"Vectrevirus mutPK1A2","ICTVonline=202108589"
"Vectrevirus VEc3","ICTVonline=202108583"
"Zindervirus BP12B","ICTVonline=202108593"
"Zindervirus SP6","ICTVonline=202100581"
"Zindervirus UAB78","ICTVonline=202108592"
"Ampunavirus BpAMP1","ICTVonline=202108337"
"Ampunavirus RSPI1","ICTVonline=202108338"
"Higashivirus RSB1","ICTVonline=202108334"
"Higashivirus RsoP1IDN","ICTVonline=202108335"
"Mguuvirus JG068","ICTVonline=202108342"
"Risjevirus RSJ2","ICTVonline=202108332"
"Risjevirus RSJ5","ICTVonline=202108331"
"Sukuvirus RSPII1","ICTVonline=202108340"
"Bucovirus buco","ICTVonline=202108550"
"Drulisvirus altogao","ICTVonline=202108543"
"Drulisvirus BO1E","ICTVonline=202108536"
"Drulisvirus F19","ICTVonline=202100558"
"Drulisvirus K244","ICTVonline=202100559"
"Drulisvirus Kp2","ICTVonline=202100560"
"Drulisvirus KP34","ICTVonline=202100561"
"Drulisvirus KPRio2015","ICTVonline=202108539"
"Drulisvirus KpS2","ICTVonline=202108538"
"Drulisvirus KpV41","ICTVonline=202100562"
"Drulisvirus KpV48","ICTVonline=202108537"
"Drulisvirus KpV71","ICTVonline=202100563"
"Drulisvirus KpV74","ICTVonline=202108541"
"Drulisvirus KpV475","ICTVonline=202100564"
"Drulisvirus KPV811","ICTVonline=202108540"
"Drulisvirus minorna","ICTVonline=202108545"
"Drulisvirus myPSH1235","ICTVonline=202108544"
"Drulisvirus SFN6B","ICTVonline=202108542"
"Drulisvirus SU503","ICTVonline=202100565"
"Drulisvirus SU552A","ICTVonline=202100566"
"Koutsourovirus KDA1","ICTVonline=202108552"
"Novosibovirus PM16","ICTVonline=202108547"
"Novosibovirus PM75","ICTVonline=202108548"
"Aarhusvirus dagda","ICTVonline=202108380"
"Aarhusvirus katbat","ICTVonline=202108381"
"Aarhusvirus luksen","ICTVonline=202108382"
"Aarhusvirus mysterion","ICTVonline=202108383"
"Apdecimavirus AP10","ICTVonline=202108429"
"Berlinvirus 285P","ICTVonline=202108391"
"Berlinvirus A7","ICTVonline=202108401"
"Berlinvirus BA14","ICTVonline=202108390"
"Berlinvirus berlin","ICTVonline=202108388"
"Berlinvirus BP12A","ICTVonline=202108394"
"Berlinvirus BSP161","ICTVonline=202108398"
"Berlinvirus FE44","ICTVonline=202108393"
"Berlinvirus Kvp1","ICTVonline=202100584"
"Berlinvirus P483","ICTVonline=202108395"
"Berlinvirus P694","ICTVonline=202108396"
"Berlinvirus PP74","ICTVonline=202108397"
"Berlinvirus PYPS50","ICTVonline=202108400"
"Berlinvirus S523","ICTVonline=202108399"
"Berlinvirus Yepe2","ICTVonline=202108389"
"Berlinvirus Yepf","ICTVonline=202108392"
"Caroctavirus CR8","ICTVonline=202108454"
"Chatterjeevirus ICP3","ICTVonline=202108496"
"Chatterjeevirus N4","ICTVonline=202108495"
"Chatterjeevirus VP4","ICTVonline=202108497"
"Eapunavirus Eap1","ICTVonline=202108425"
"Elunavirus L1","ICTVonline=202108423"
"Foetvirus SRT7","ICTVonline=202108427"
"Ghunavirus 17A","ICTVonline=202108353"
"Ghunavirus gh1","ICTVonline=202100585"
"Ghunavirus henninger","ICTVonline=202108352"
"Ghunavirus KNP","ICTVonline=202108349"
"Ghunavirus Pf1ERZ2017","ICTVonline=202108351"
"Ghunavirus PPPL1","ICTVonline=202108347"
"Ghunavirus PSA2","ICTVonline=202108345"
"Ghunavirus Psa17","ICTVonline=202108346"
"Ghunavirus shl2","ICTVonline=202108350"
"Ghunavirus WRT","ICTVonline=202108348"
"Helsettvirus fPS9","ICTVonline=202108378"
"Helsettvirus fPS53","ICTVonline=202108376"
"Helsettvirus fPS59","ICTVonline=202108375"
"Helsettvirus fPS54ocr","ICTVonline=202108377"
"Jarilovirus jarilo","ICTVonline=202108458"
"Kayfunavirus CR44b","ICTVonline=202108406"
"Kayfunavirus Dev2","ICTVonline=202108405"
"Kayfunavirus EcoDS1","ICTVonline=202108404"
"Kayfunavirus EcpYZU01","ICTVonline=202108420"
"Kayfunavirus F","ICTVonline=202108412"
"Kayfunavirus GA2A","ICTVonline=202108408"
"Kayfunavirus GW1","ICTVonline=202108418"
"Kayfunavirus IMM002","ICTVonline=202108421"
"Kayfunavirus K1F","ICTVonline=202108403"
"Kayfunavirus LM33P1","ICTVonline=202108414"
"Kayfunavirus PE31","ICTVonline=202108407"
"Kayfunavirus Ro45lw","ICTVonline=202108419"
"Kayfunavirus SFPH2","ICTVonline=202108417"
"Kayfunavirus SH3","ICTVonline=202108409"
"Kayfunavirus SH4","ICTVonline=202108410"
"Kayfunavirus ST31","ICTVonline=202108413"
"Kayfunavirus Vec13","ICTVonline=202108416"
"Kayfunavirus YZ1","ICTVonline=202108415"
"Kayfunavirus ZG49","ICTVonline=202108411"
"Minipunavirus MmP1","ICTVonline=202108369"
"Minipunavirus MP2","ICTVonline=202108368"
"Ningirsuvirus JA10","ICTVonline=202108386"
"Ningirsuvirus ninurta","ICTVonline=202108385"
"Pektosvirus PP47","ICTVonline=202108371"
"Pektosvirus PP81","ICTVonline=202108373"
"Pektosvirus PPWS4","ICTVonline=202108372"
"Phutvirus PPpW4","ICTVonline=202108357"
